#PT eta phi vx vy vz charge
3.33948 0.211123 -0.756657 -0.00244797 0.000892301 -12.2547 1
6.99144 -0.801153 -0.971006 -0.00149135 7.20792e-05 11.0454 -1
4.60294 -0.807221 -0.854785 -0.000798988 -0.00052917 11.3904 -1
4.14651 0.183285 -0.588024 0.000211199 4.54202e-05 -10.953 1
7.05927 -0.834786 -0.702297 -0.00180189 -0.00061266 12 -1
17.7081 0.049177 -0.891342 0.000115757 -0.00010164 -10.3865 1
4.88582 0.182034 -0.721727 0.000811787 0.000334056 -11.329 1
4.28055 0.0808125 -0.894699 -0.00123715 5.55281e-05 -11.2698 -1
2.61862 -0.703265 -0.807444 0.000214074 2.7467e-05 10.0749 1
16.0829 0.223436 -0.773791 -0.000175566 -0.000378504 -13.0894 -1
10.6504 -0.884391 -0.6942 0.00160403 0.000652745 13.8209 1
2.45105 0.035097 -0.630997 -0.00189326 0.00108607 -11.1082 1
7.95166 0.226994 -0.691473 0.00111786 -0.000492902 -13.7733 -1
2.44844 0.224117 -0.814434 -0.00268113 -0.000598125 -13.3122 1
4.6479 -0.833125 -0.804189 0.00135458 -0.000896674 10.8955 1
4.46722 0.212137 -0.681818 -0.00320788 -0.000508637 -13.1712 1
6.40005 0.220195 -0.684539 0.000470214 0.000705072 -14.5976 1
8.76058 -0.804625 -0.814239 0.000655847 -0.000225087 10.1613 1
44.1525 -0.718563 -0.596947 0.00388076 0.000957748 10.6968 1
2.27784 -0.800394 -1.02373 0.00201021 0.000356509 13.1668 -1
2.4058 0.196243 -0.674819 -0.0007748 -0.000868214 -11.3847 1
7.01556 -0.898483 -0.689306 -3.52448e-05 -0.000341289 12.8119 -1
3.32876 0.0446265 -0.900582 -0.00174994 -0.000107085 -11.1804 -1
29.4934 0.313242 -0.899679 -0.00402382 5.50639e-05 -14.4396 -1
4.69385 0.171466 -0.732275 0.00320512 0.000101687 -11.5247 -1
41.0176 -0.704658 -0.772507 0.0019675 -2.59282e-05 10.0283 1
2.37505 0.12029 -0.901365 -0.00198775 0.000163725 -10.9584 1
2.03494 -0.932293 -0.823085 0.00121106 0.000144241 13.2352 1
2.2663 -0.956794 -0.730761 0.000754694 0.000424725 14.1481 1
2.38787 -0.843767 -0.736217 -0.000247528 0.000610463 10.6937 -1
2.11802 -0.80842 -0.737237 0.000413899 -0.000204261 11.4416 1
2.83882 0.060644 -0.851683 -0.000799509 -0.000608065 -11.7869 1
4.27558 -0.749205 -0.817635 4.52984e-05 2.14542e-05 10.2598 -1
4.70567 0.0528019 -0.755841 0.000226724 0.000295008 -11.6706 -1
16.428 0.00591745 -0.974864 0.000561147 -0.000306066 -10.1021 -1
3.71189 0.202702 -0.59923 -0.00199349 0.000782103 -11.5866 1
3.83031 0.135309 -0.847298 -6.83737e-05 0.00065276 -11.7001 -1
56.4156 0.200891 -0.910002 -0.000494259 -0.000215686 -11.7258 -1
6.50218 0.194685 -0.645071 -0.00325345 -0.00123329 -12.8267 1
7.06536 -0.748124 -0.896225 0.00306731 -0.00105497 10.925 -1
3.87001 -0.783438 -0.637585 0.000302781 0.000339372 10.1004 -1
3.32679 -0.773417 -0.877738 0.00103356 -0.000111305 10.9161 -1
13.7119 0.17395 -0.62092 -0.000599684 0.000461102 -11.768 -1
2.93881 0.0870212 -0.710751 0.000427399 0.000182499 -12.0339 -1
2.48868 -0.842438 -0.65956 0.00172362 -0.000742836 10.6731 1
23.3108 -0.746982 -0.762436 -0.00115731 -0.000137802 10.2938 1
31.8979 0.125014 -0.769064 0.000977952 9.93355e-05 -11.4731 -1
2.82485 -0.822868 -0.642606 0.00260471 -0.000843119 10.034 1
2.51953 -0.85603 -0.662788 -0.00126396 -0.000197018 12.5045 1
174.961 -0.733132 -0.645083 -0.00213084 -0.00096927 10.3 -1
11.5175 -0.755959 -0.843428 0.00175358 0.000586401 11.4643 -1
8.42656 0.183196 -0.663774 0.000556057 -8.38512e-05 -11.4463 1
2.09639 -0.780282 -0.771074 0.00277618 0.00065328 10.2171 1
5.75309 -0.850883 -0.748565 0.000487558 -0.000129153 11.2697 -1
3.0316 -0.922169 -0.566149 0.00189131 0.00107889 13.6522 1
